Degree0,XCoordinate0,YCoordinate0,Degree1,XCoordinate1,YCoordinate1,Degree0_rad,Degree1_rad,d,cosb,cosb_ref,delta_cos,min,d,cosb,cosb_ref,delta_cos,min
12.04,199.4130813,42.50987744,12.04,203.6231829,43.40736571,0.210137642,0.210137642,,1.148052286,0.978002213,0.170050073,,,1.293498873,0.978002213,0.315496661,
12.15,199.1500579,42.85348436,12.15,198.7413129,42.76552985,0.212057504,0.212057504,,1.120527709,0.977599938,0.142927771,,,1.262487211,0.977599938,0.284887273,
12.26,198.8870862,43.19637655,12.26,196.2732677,42.62868013,0.213977366,0.213977366,,1.10661257,0.97719406,0.12941851,,,1.246809165,0.97719406,0.269615105,
12.38,198.7962261,43.61261857,12.38,195.3218948,42.85040749,0.216071761,0.216071761,,1.101248614,0.976747176,0.124501438,,,1.24076565,0.976747176,0.264018474,
12.49,198.7121724,43.99400591,12.49,192.0537961,42.51987053,0.217991624,0.217991624,,1.082822675,0.976333768,0.106488907,,,1.220005332,0.976333768,0.243671564,
12.6,201.710754,45.06408453,12.6,186.2048514,41.59991967,0.219911486,0.219911486,,1.049845613,0.975916762,0.073928851,,,1.18285041,0.975916762,0.206933648,
12.71,201.6239097,45.45106186,12.71,186.124683,41.95714929,0.221831348,0.221831348,,1.049393614,0.975496159,0.073897455,,,1.182341147,0.975496159,0.206844989,
12.83,201.5283238,45.87302801,12.83,181.4520584,41.30315381,0.223925743,0.223925743,,1.023048788,0.975033218,0.04801557,,,1.152658699,0.975033218,0.177625481,
12.94,201.4399276,46.25965378,12.94,178.2380848,40.93146871,0.225845605,0.225845605,,1.004928014,0.974605099,0.030322915,,,1.132242206,0.974605099,0.157637107,
13.05,201.3507897,46.64610922,13.05,175.2665772,40.60328701,0.227765467,0.227765467,,0.988174292,0.974173387,0.014000905,,,1.113365958,0.974173387,0.139192571,
13.16,201.2609103,47.03239289,13.16,173.1653537,40.46677986,0.22968533,0.22968533,,0.976327338,0.973738085,0.002589254,,,1.100018115,0.973738085,0.126280031,
13.28,201.1620149,47.45359571,13.28,170.2304936,40.15693034,0.231779725,0.231779725,,0.95978024,0.973259116,0.013478876,,,1.081374667,0.973259116,0.108115551,
13.39,201.0705865,47.83951566,13.39,169.5563659,40.34152666,0.233699587,0.233699587,,0.955979426,0.972816311,0.016836885,,,1.077092328,0.972816311,0.104276017,
13.5,200.9784176,48.22525947,13.5,168.6957448,40.47895371,0.235619449,0.235619449,,0.951127139,0.97236992,0.021242781,,,1.071625306,0.97236992,0.099255386,
13.61,200.8855087,48.6108257,13.61,162.6229512,39.3519472,0.237539311,0.237539311,,0.91688799,0.971919946,0.055031956,,,1.033048404,0.971919946,0.061128458,
13.73,200.78331,49.03123921,13.73,162.5402182,39.69228478,0.239633706,0.239633706,,0.916421531,0.971424979,0.055003447,,,1.032522849,0.971424979,0.061097871,
13.84,200.6888549,49.41642957,13.84,161.1135056,39.67163102,0.241553568,0.241553568,,0.908377552,0.970967515,0.062589963,,,1.02345978,0.970967515,0.052492264,
13.95,200.5936609,49.80143797,13.95,159.2850718,39.54574432,0.243473431,0.243473431,,0.89806862,0.970506473,0.072437854,,,1.01184481,0.970506473,0.041338337,
14.06,200.4977282,50.18626299,14.06,135.7920729,33.98989476,0.245393293,0.245393293,,0.765612233,0.970041854,0.204429621,,,0.862607541,0.970041854,0.107434313,
14.18,199.6967503,50.43022839,14.18,135.0686722,34.10943833,0.247487688,0.247487688,,0.761533612,0.969530919,0.207997308,,,0.8580122,0.969530919,0.111518719,
14.29,199.5996127,50.81333118,14.29,132.4239449,33.71199813,0.24940755,0.24940755,,0.746622317,0.969058826,0.222436509,,,0.841211796,0.969058826,0.12784703,
14.4,199.5017401,51.19624687,14.4,129.347623,33.19325856,0.251327412,0.251327412,,0.72927764,0.968583161,0.239305521,,,0.821669724,0.968583161,0.146913437,
14.51,198.5296754,51.35303955,14.51,126.7356328,32.78230295,0.253247274,0.253247274,,0.714550921,0.968103926,0.253553005,,,0.805077279,0.968103926,0.163026647,
14.63,198.4217414,51.76851552,14.63,124.5633602,32.49875845,0.25534167,0.25534167,,0.702303384,0.967577055,0.26527367,,,0.791278103,0.967577055,0.176298951,
14.74,198.3220381,52.14916925,14.74,124.2940004,32.68335141,0.257261532,0.257261532,,0.700784701,0.967090361,0.26630566,,,0.789567018,0.967090361,0.177523343,
14.85,198.2216046,52.52963097,14.85,123.4160808,32.70582533,0.259181394,0.259181394,,0.695834883,0.966600102,0.270765219,,,0.783990109,0.966600102,0.182609993,
14.96,198.1204412,52.90989926,14.96,121.2927665,32.39235698,0.261101256,0.261101256,,0.683863379,0.966106281,0.282242902,,,0.770501936,0.966106281,0.195604345,
15.08,198.0092492,53.32451515,15.08,118.0851998,31.80071666,0.263195651,0.263195651,,0.665778727,0.965563505,0.299784778,,,0.750126143,0.965563505,0.215437363,
15.19,197.9065608,53.70437449,15.19,118.0239604,32.02725035,0.265115513,0.265115513,,0.665433452,0.96506224,0.299628788,,,0.749737125,0.96506224,0.215325116,
15.3,197.8031438,54.08403609,15.3,117.9622864,32.25366611,0.267035376,0.267035376,,0.665085727,0.964557418,0.299471692,,,0.749345346,0.964557418,0.215212073,
15.41,197.6989985,54.46349854,15.41,115.073986,31.701384,0.268955238,0.268955238,,0.648801138,0.964049041,0.315247904,,,0.730997664,0.964049041,0.233051377,
15.53,197.5845551,54.87722881,15.53,112.779611,31.32346308,0.271049633,0.271049633,,0.635865172,0.963490395,0.327625223,,,0.716422843,0.963490395,0.247067552,
15.64,197.4788881,55.25627035,15.64,112.3203829,31.42819723,0.272969495,0.272969495,,0.633275988,0.962974591,0.329698602,,,0.713505636,0.962974591,0.249468955,
15.75,197.372494,55.63510843,15.75,111.6666174,31.47644457,0.274889357,0.274889357,,0.629589979,0.962455236,0.332865258,,,0.709352646,0.962455236,0.25310259,
15.86,197.093683,55.96499006,15.86,111.0149171,31.52282018,0.276809219,0.276809219,,0.625915613,0.961932335,0.336016722,,,0.705212776,0.961932335,0.256719559,
15.98,195.2164216,55.87380474,15.98,109.7593475,31.41473601,0.278903614,0.278903614,,0.618836559,0.961357853,0.342521294,,,0.697236877,0.961357853,0.264120976,
16.09,195.1088467,56.24830027,16.09,108.9150253,31.39931965,0.280823477,0.280823477,,0.614076168,0.96082754,0.346751372,,,0.691873392,0.96082754,0.268954148,
16.2,195.0005533,56.62258868,16.2,108.4641503,31.49488997,0.282743339,0.282743339,,0.611534079,0.960293686,0.348759606,,,0.689009248,0.960293686,0.271284438,
16.31,194.8915419,56.9966686,16.31,108.0153129,31.5894314,0.284663201,0.284663201,,0.60900348,0.959756292,0.350752812,,,0.686158046,0.959756292,0.273598245,
16.43,194.7718019,57.40451638,16.43,106.4002414,31.35902804,0.286757596,0.286757596,,0.59989751,0.959166009,0.3592685,,,0.675898443,0.959166009,0.283267567,
16.54,194.6612905,57.77815591,16.54,105.5713752,31.33504025,0.288677458,0.288677458,,0.595224261,0.958621221,0.36339696,,,0.670633141,0.958621221,0.28798808,
16.65,192.7804407,57.6226376,16.65,105.320342,31.4805583,0.29059732,0.29059732,,0.593808906,0.958072899,0.364263994,,,0.669038474,0.958072899,0.289034426,
16.76,192.6695144,57.99245553,16.76,104.4973715,31.45312941,0.292517183,0.292517183,,0.589168898,0.957521046,0.368352149,,,0.663810624,0.957521046,0.293710422,
16.88,192.5476948,58.39564969,16.88,103.8623898,31.49926951,0.294611578,0.294611578,,0.585588794,0.956915,0.371326206,,,0.659776957,0.956915,0.297138043,
16.99,192.4352856,58.76501958,16.99,102.6711879,31.35326428,0.29653144,0.29653144,,0.578872652,0.95635577,0.377483117,,,0.652209949,0.95635577,0.304145821,
17.1,192.3221678,59.1341731,17.1,89.3408987,27.47005313,0.298451302,0.298451302,,0.50371486,0.955793015,0.452078155,,,0.567530425,0.955793015,0.388262589,
17.21,191.8622408,59.39596423,17.21,89.28802227,27.64143771,0.300371164,0.300371164,,0.503416736,0.955226737,0.451810001,,,0.567194532,0.955226737,0.388032204,
17.33,191.7374849,59.79746542,17.33,88.80816731,27.69674024,0.302465559,0.302465559,,0.500711255,0.954604964,0.453893708,,,0.564146295,0.954604964,0.390458669,
17.44,191.6223873,60.16527804,17.44,86.4133072,27.13190628,0.304385422,0.304385422,,0.487208742,0.954031326,0.466822584,,,0.54893315,0.954031326,0.405098176,
17.55,189.929881,60.0344927,17.55,86.86894606,27.45820237,0.306305284,0.306305284,,0.48977769,0.953454172,0.463676483,,,0.551827557,0.953454172,0.401626615,
17.66,189.6408351,60.34362971,17.66,86.2976724,27.45988112,0.308225146,0.308225146,,0.486556779,0.952873504,0.466316725,,,0.54819859,0.952873504,0.404674914,
17.78,189.5141004,60.74047869,17.78,86.0689564,27.58564983,0.310319541,0.310319541,,0.485267251,0.952236043,0.466968792,,,0.546745691,0.952236043,0.405490351,
17.89,189.3971973,61.10402314,17.89,85.15425077,27.47277881,0.312239403,0.312239403,,0.480110029,0.951648033,0.471538004,,,0.540935102,0.951648033,0.410712931,
