Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
21.42,126.2237274,49.48976983,,21.42,142.7080937,55.95295638,,-16.48436634,-6.463186541,,17.7061321,-1.944456327
21.6,125.2512071,49.56277284,,21.6,142.5316982,56.40078322,,-17.28049107,-6.838010375,,18.58423411,-1.947596327
21.78,124.3989867,49.67788338,,21.78,117.7761479,47.03309806,,6.622838817,2.644785324,,7.131401223,1.190856327
21.96,124.2423852,50.06825066,,21.96,117.6278836,47.40268269,,6.614501555,2.665567965,,7.131401223,1.187716327
22.14,121.762276,49.51378415,,22.14,116.4255656,47.34364795,,5.336710325,2.170136202,,5.761073531,1.184576327
22.32,120.4475673,49.42047681,,22.32,115.9286206,47.56632144,,4.518946756,1.854155367,,4.884544187,1.181436327
22.5,119.4847755,49.46434833,,22.5,115.778691,47.93010222,,3.706084455,1.534246113,,4.011106222,1.178296327
22.68,118.2861014,49.40376047,,22.68,115.62762,48.29341043,,2.658481391,1.110350043,,2.881041569,1.175156327
22.86,118.1303907,49.77493467,,22.86,95.85444853,40.38883546,,22.27594219,9.38609921,,24.17263864,1.172016327
23.04,114.4644699,48.65406934,,23.04,95.32373088,40.51813995,,19.14073903,8.135929381,,20.79810658,1.168876327
23.22,114.3111321,49.01324733,,23.22,94.79440828,40.64505086,,19.51672381,8.368196464,,21.23509408,1.165736327
23.4,113.3618288,49.02818012,,23.4,93.86798262,40.59723109,,19.49384615,8.430949028,,21.23890155,1.162596327
23.58,110.6161299,48.25355064,,23.58,93.74004477,40.89177594,,16.87608508,7.361774699,,18.41189763,1.159456327
23.76,110.4640686,48.60064683,,23.76,92.22863775,40.57764218,,18.23543089,8.023004651,,19.9223378,1.156316327
23.94,108.4740672,48.13221456,,23.94,92.1007695,40.86703959,,16.3732977,7.265174972,,17.91277882,1.153176327
24.12,107.5298342,48.11792554,,24.12,91.63165471,41.00373791,,15.89817949,7.114187634,,17.41734126,1.150036327
24.3,107.3782141,48.45533145,,24.3,89.50582745,40.39026514,,17.8723866,8.06506631,,19.60784275,1.146896327
24.48,105.7917351,48.13981849,,24.48,89.03339402,40.51404796,,16.75834104,7.625770535,,18.41179977,1.143756327
24.66,105.6400548,48.47176667,,24.66,88.16552101,40.45377081,,17.47453375,8.017995869,,19.22622135,1.140616327
24.84,104.8031738,48.48671386,,24.84,87.642657,40.54747844,,17.16051684,7.939235418,,18.9080617,1.137476327
25.02,103.1193135,48.10135663,,25.02,87.12143069,40.6389343,,15.99788284,7.462422329,,17.65276189,1.134336327
25.2,102.9677672,48.42491361,,25.2,86.30666077,40.58932913,,16.66110639,7.835584474,,18.41164985,1.131196327
25.38,102.4745001,48.58645374,,25.38,85.04870493,40.32432422,,17.42579522,8.262129525,,19.28525663,1.128056327
25.56,102.3214337,48.90798362,,25.56,84.52935093,40.40365698,,17.79208282,8.504326641,,19.72008576,1.124916327
25.74,101.4925758,48.9038893,,25.74,84.06002195,40.50406618,,17.43255387,8.399823117,,19.35073546,1.121776327
25.92,101.0039583,49.05983164,,25.92,83.15116075,40.38833741,,17.85279752,8.671494222,,19.84734721,1.118636327
26.1,100.8494127,49.37674169,,26.1,83.02393166,40.64923252,,17.82548106,8.727509166,,19.84734721,1.115496327
26.28,100.0315114,49.36628467,,26.28,82.89588399,40.90972685,,17.1356274,8.456557824,,19.10871782,1.112356327
26.46,99.87600838,49.68013973,,26.46,80.92068223,40.25141639,,18.95532615,9.428723346,,21.17085764,1.109216327
26.64,99.39174805,49.82917907,,26.64,80.40887183,40.31228097,,18.98287621,9.5168981,,21.23489908,1.106076327
26.82,99.2347947,50.141023,,26.82,79.93882619,40.39122099,,19.29596851,9.749802008,,21.61927473,1.102936327
27,99.07686294,50.45237256,,27,78.70114198,40.07655489,,20.37572096,10.37581767,,22.86542362,1.099796327
27.18,98.91795432,50.76322468,,27.18,78.57491382,40.3234785,,20.3430405,10.43974618,,22.86542362,1.096656327
27.36,98.75807041,51.07357629,,27.36,78.44791095,40.57000454,,20.31015947,10.50357175,,22.86542362,1.093516327
27.54,98.59721279,51.38342434,,27.54,77.59718992,40.4393717,,21.00002287,10.94405264,,23.68065136,1.090376327
27.72,98.43538304,51.69276577,,27.72,77.08947082,40.4830848,,21.34591221,11.20968097,,24.11026577,1.087236327
27.9,98.27258275,52.00159753,,27.9,76.28223482,40.36525715,,21.99034794,11.63634038,,24.87930505,1.084096327
28.08,98.10881354,52.30991658,,28.08,75.77415047,40.40146187,,22.33466308,11.90845471,,25.31103451,1.080956327
28.26,97.94407702,52.61771987,,28.26,75.64691653,40.63919314,,22.29716048,11.97852673,,25.31103451,1.077816327
28.44,97.7783748,52.92500437,,28.44,75.18193061,40.69411067,,22.5964442,12.23089369,,25.69424159,1.074676327
28.62,97.61170854,53.23176705,,28.62,74.71927271,40.74755968,,22.89243583,12.48420737,,26.07525747,1.071536327
28.8,97.44407986,53.53800489,,28.8,74.25897004,40.79957558,,23.18510981,12.73842931,,26.45405258,1.068396327
28.98,97.27549042,53.84371487,,28.98,74.13049351,41.03254723,,23.14499691,12.81116763,,26.45405258,1.065256327
29.16,97.10594188,54.14889397,,29.16,74.00128607,41.26511432,,23.10465581,12.88377965,,26.45405258,1.062116327
29.34,96.93543592,54.45353918,,29.34,73.54305702,41.31285632,,23.3923789,13.14068286,,26.83059702,1.058976327
29.52,96.76397422,54.7576475,,29.52,73.41297231,41.54357748,,23.35100191,13.21407003,,26.83059702,1.055836327
29.7,96.59155846,55.06121594,,29.7,72.957018,41.58854238,,23.63454046,13.47267356,,27.20486051,1.052696327
29.88,96.41819035,55.36424149,,29.88,72.82607053,41.81742202,,23.59211982,13.54681948,,27.20486051,1.049556327
30.06,96.2438716,55.66672118,,30.06,72.69440503,42.04588935,,23.54946657,13.62083183,,27.20486051,1.046416327
30.24,96.06860392,55.96865201,,30.24,72.56202278,42.27394213,,23.50658113,13.69470988,,27.20486051,1.043276327
30.42,95.89238904,56.27003102,,30.42,72.42892511,42.50157811,,23.46346393,13.76845292,,27.20486051,1.040136327
30.6,95.7152287,56.57085523,,30.6,71.97490742,42.5395428,,23.74032128,14.03131243,,27.57681241,1.036996327
30.78,95.53712465,56.87112167,,30.78,71.84097866,42.76533393,,23.696146,14.10578774,,27.57681241,1.033856327
30.96,95.35807864,57.17082738,,30.96,71.70634157,42.9907034,,23.65173708,14.18012398,,27.57681241,1.030716327
31.14,95.17809245,57.46996942,,31.14,71.57099748,43.21564901,,23.60709496,14.25432041,,27.57681241,1.027576327
31.32,82.3678824,50.08857437,,31.32,71.43494774,43.44016853,,10.93293466,6.648405846,,12.79571649,1.024436327
31.5,82.21019847,50.34696217,,31.5,71.29819367,43.66425974,,10.9120048,6.682702429,,12.79571649,1.021296327
31.68,82.05170399,50.60485357,,31.68,71.16073664,43.88792045,,10.89096736,6.716933123,,12.79571649,1.018156327
