Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
28.98,120.3962221,66.64145128,,28.98,54.70597724,30.28073184,,65.69024486,36.36071944,,75.08202307,1.065256327
29.16,120.1863748,67.01916627,,29.16,54.61062621,30.45235905,,65.57574859,36.56680722,,75.0820231,1.062116327
29.34,121.0256428,67.98622734,,29.34,54.51473674,30.62368601,,66.51090606,37.36254133,,76.28669687,1.058976327
29.52,120.8115698,68.36591208,,29.52,54.41830978,30.79471103,,66.39326002,37.57120105,,76.2866969,1.055836327
29.7,120.5963056,68.74492275,,29.7,54.6929009,31.17723407,,65.9034047,37.56768868,,75.85901386,1.052696327
29.88,120.3798524,69.12325563,,29.88,54.59473492,31.3488158,,65.78511748,37.77443983,,75.85901388,1.049556327
30.06,120.1622123,69.50090699,,30.06,54.49603066,31.52008844,,65.66618164,37.98081855,,75.85901389,1.046416327
30.24,119.9433874,69.87787309,,30.24,54.39678909,31.69105031,,65.54659831,38.18682278,,75.85901386,1.043276327
30.42,119.72338,70.25415022,,30.42,54.2970112,31.86169971,,65.4263688,38.39245051,,75.8590139,1.040136327
30.6,119.5021921,70.62973468,,30.6,54.19669795,32.03203498,,65.30549415,38.5976997,,75.85901389,1.036996327
30.78,119.279826,71.00462275,,30.78,54.09585035,32.20205442,,65.18397565,38.80256833,,75.8590139,1.033856327
30.96,119.0562838,71.37881075,,30.96,55.34005284,33.17848528,,63.71623096,38.20032547,,74.29012689,1.030716327
31.14,118.8315678,71.75229499,,31.14,55.57727787,33.5583996,,63.25428993,38.19389539,,73.89099295,1.027576327
31.32,119.6444297,72.7567438,,31.32,55.47163069,33.73274653,,64.17279901,39.02399727,,75.10672737,1.024436327
31.5,119.4153841,73.13206802,,31.5,55.36543657,33.90676087,,64.04994753,39.22530715,,75.10672739,1.021296327
31.68,119.5321317,73.72066304,,31.68,55.60068362,34.29135918,,63.93144808,39.42930386,,75.11258254,1.018156327
31.86,119.3000599,74.09562989,,31.86,55.49273483,34.46577599,,63.80732507,39.6298539,,75.11258252,1.015016327
32.04,119.0668119,74.46986618,,32.04,55.3842389,34.63985298,,63.682573,39.8300132,,75.11258254,1.011876327
32.22,118.8323899,74.84336824,,32.22,55.27519691,34.81358844,,63.55719299,40.0297798,,75.11258251,1.008736326
32.4,118.5967963,75.21613236,,32.4,55.16560992,34.98698065,,63.43118638,40.22915171,,75.11258252,1.005596327
32.58,118.7046019,75.80820635,,32.58,55.05547903,35.1600279,,63.64912287,40.64817845,,75.52142248,1.002456327
32.76,118.8108447,76.40233312,,32.76,54.94480531,35.33272849,,63.86603939,41.06960463,,75.93143889,0.999316327
32.94,118.5703561,76.77502191,,32.94,55.17305388,35.72488571,,63.39730222,41.0501362,,75.5270257,0.996176327
33.12,118.3286984,77.14695373,,33.12,55.06060593,35.8979527,,63.26809247,41.24900103,,75.5270257,0.993036327
33.3,120.4849664,79.09302241,,33.3,54.9476151,36.07066575,,65.5373513,43.02235666,,78.39685955,0.989896326
33.48,120.5722355,79.69317845,,33.48,54.83408252,36.24302316,,65.73815298,43.45015529,,78.79987787,0.986756327
33.66,120.3214049,80.07138178,,33.66,54.72000929,36.41502322,,65.60139561,43.65635856,,78.79987785,0.983616326
33.84,120.0693881,80.44879563,,33.84,54.60539655,36.58666425,,65.46399155,43.86213138,,78.79987791,0.980476327
34.02,120.1512714,81.05145678,,34.02,54.82763657,36.98554134,,65.32363483,44.06591544,,78.79709494,0.977336327
34.2,120.5791688,81.89218963,,34.2,54.71123187,37.15751751,,65.86793693,44.73467212,,79.62271036,0.974196327
34.38,120.3214333,82.27040388,,34.38,54.59428774,37.32912731,,65.72714556,44.94127657,,79.62271035,0.971056327
34.56,120.7349991,83.11072936,,34.56,54.47680534,37.50036907,,66.25819376,45.61036029,,80.43912733,0.967916327
34.74,120.4734366,83.48942691,,34.74,55.7171467,38.61260024,,64.7562899,44.87682667,,78.78646238,0.964776327
34.92,120.2106863,83.8673013,,34.92,55.59562866,38.78736144,,64.61505764,45.07993986,,78.78646236,0.961636327
35.1,119.9467508,84.24434878,,35.1,55.80054708,39.19139717,,64.14620372,45.05295161,,78.38688602,0.958496327
35.28,120.0107767,84.85328601,,35.28,56.01744355,39.60697773,,63.99333315,45.24630828,,78.37330605,0.955356327
35.46,120.0731022,85.4641258,,35.46,55.89280169,39.78267696,,64.18030051,45.68144884,,78.77757131,0.952216327
35.64,120.1392063,86.08080182,,35.64,55.76760875,39.95798394,,64.37159755,46.12281788,,79.1897525,0.949076327
35.82,120.2035127,86.69937835,,35.82,55.64186596,40.13289696,,64.56164674,46.56648139,,79.60303649,0.945936327
